Date,Peak,Gain,%Gain
2025-05-01,"664,357","+27,912",+4.4%
2025-04-01,"636,445","-21,335",-3.2%
2025-03-01,"657,780","-51,168",-7.2%
2025-02-01,"708,948","-15,605",-2.2%
2025-01-01,"724,553","-19,743",-2.7%
2024-12-01,"744,296","-53,303",-6.7%
2024-11-01,"797,599","+87,867",+12.4%
2024-10-01,"709,732","-21,461",-2.9%
2024-09-01,"731,193","-5,072",-0.7%
2024-08-01,"736,265","-69,359",-8.6%
2024-07-01,"805,624","-72,762",-8.3%
2024-06-01,"878,386","-72,853",-7.7%
2024-05-01,"951,239","+23,041",+2.5%
2024-04-01,"928,198","+194,155",+26.5%
2024-03-01,"734,043","-10,241",-1.4%
2024-02-01,"744,284","+1,597",+0.2%
2024-01-01,"742,687","-60,252",-7.5%
2023-12-01,"802,939","+29,085",+3.8%
2023-11-01,"773,854","-10,304",-1.3%
2023-10-01,"784,158",-402,-0.1%
2023-09-01,"784,560","-79,235",-9.2%
2023-08-01,"863,795","+157,751",+22.3%
2023-07-01,"706,044","+22,557",+3.3%
2023-06-01,"683,487","-32,299",-4.5%
2023-05-01,"715,786","-95,095",-11.7%
2023-04-01,"810,881","+53,027",+7.0%
2023-03-01,"757,854","+72,049",+10.5%
2023-02-01,"685,805","-80,291",-10.5%
2023-01-01,"766,096","-68,072",-8.2%
2022-12-01,"834,168","-156,823",-15.8%
2022-11-01,"990,991","-51,948",-5.0%
2022-10-01,"1,042,939","+170,567",+19.6%
2022-09-01,"872,372","+120,583",+16.0%
2022-08-01,"751,789","+64,890",+9.4%
2022-07-01,"686,899","-15,104",-2.2%
2022-06-01,"702,003","+6,449",+0.9%
2022-05-01,"695,554","-39,181",-5.3%
2022-04-01,"734,735","-8,991",-1.2%
2022-03-01,"743,726","+15,513",+2.1%
2022-02-01,"728,213","-59,396",-7.5%
2022-01-01,"787,609","+27,731",+3.6%
2021-12-01,"759,878","+7,078",+0.9%
2021-11-01,"752,800",-827,-0.1%
2021-10-01,"753,627","+86,139",+12.9%
2021-09-01,"667,488","-32,757",-4.7%
2021-08-01,"700,245","-10,621",-1.5%
2021-07-01,"710,866","-23,411",-3.2%
2021-06-01,"734,277","+60,617",+9.0%
