Date,Peak,Gain,%Gain
2025-05-01,"49,423","-2,440",-4.7%
2025-04-01,"51,863","-1,274",-2.4%
2025-03-01,"53,137","+11,874",+28.8%
2025-02-01,"41,263","-8,257",-16.7%
2025-01-01,"49,520","-12,889",-20.7%
2024-12-01,"62,409","+7,323",+13.3%
2024-11-01,"55,086","+15,590",+39.5%
2024-10-01,"39,496","-5,982",-13.2%
2024-09-01,"45,478","+4,177",+10.1%
2024-08-01,"41,301","-4,889",-10.6%
2024-07-01,"46,190","-1,829",-3.8%
2024-06-01,"48,019","+5,127",+12.0%
2024-05-01,"42,892","-8,303",-16.2%
2024-04-01,"51,195",+370,+0.7%
2024-03-01,"50,825","+9,026",+21.6%
2024-02-01,"41,799","-12,482",-23.0%
2024-01-01,"54,281","-3,926",-6.7%
2023-12-01,"58,207","-2,129",-3.5%
2023-11-01,"60,336",-144,-0.2%
2023-10-01,"60,480","-4,499",-6.9%
2023-09-01,"64,979","+11,201",+20.8%
2023-08-01,"53,778","-14,573",-21.3%
2023-07-01,"68,351","+20,976",+44.3%
2023-06-01,"47,375",-437,-0.9%
2023-05-01,"47,812","-10,045",-17.4%
2023-04-01,"57,857","-2,708",-4.5%
2023-03-01,"60,565","+10,387",+20.7%
2023-02-01,"50,178","-11,465",-18.6%
2023-01-01,"61,643",-930,-1.5%
2022-12-01,"62,573","-8,377",-11.8%
2022-11-01,"70,950","-44,113",-38.3%
2022-10-01,"115,063","+43,624",+61.1%
2022-09-01,"71,439","+29,756",+71.4%
2022-08-01,"41,683","-9,219",-18.1%
2022-07-01,"50,902","+5,407",+11.9%
2022-06-01,"45,495",+454,+1.0%
2022-05-01,"45,041",+51,+0.1%
2022-04-01,"44,990",-100,-0.2%
2022-03-01,"45,090","-12,164",-21.2%
2022-02-01,"57,254","-2,409",-4.0%
2022-01-01,"59,663","-14,227",-19.3%
2021-12-01,"73,890","-11,014",-13.0%
2021-11-01,"84,904","+21,402",+33.7%
2021-10-01,"63,502","+17,607",+38.4%
2021-09-01,"45,895","+3,358",+7.9%
2021-08-01,"42,537",+2,+0.0%
2021-07-01,"42,535","-7,215",-14.5%
2021-06-01,"49,750","-5,613",-10.1%
2021-05-01,"55,363","+10,306",+22.9%
2021-04-01,"45,057",-230,-0.5%
2021-03-01,"45,287","-9,928",-18.0%
2021-02-01,"55,215","+8,075",+17.1%
2021-01-01,"47,140","+3,798",+8.8%
